,DATE,RRSFS
0,1948-01-01,3.02432
1,1948-02-01,0.51961
2,1948-03-01,5.61423
3,1948-04-01,4.17349
4,1948-05-01,-0.63413
5,1948-06-01,0.56415
6,1948-07-01,0.64793
7,1948-08-01,2.57775
8,1948-09-01,0.30292
9,1948-10-01,-0.15757
10,1948-11-01,-1.29926
11,1948-12-01,2.13023
12,1949-01-01,-0.65113
13,1949-02-01,1.28904
14,1949-03-01,-0.15779
15,1949-04-01,0.29086
16,1949-05-01,3.33612
17,1949-06-01,1.65479
18,1949-07-01,0.53972
19,1949-08-01,0.90872
20,1949-09-01,2.82238
21,1949-10-01,1.80305
22,1949-11-01,2.67609
23,1949-12-01,-1.03339
24,1950-01-01,5.76489
25,1950-02-01,5.74302
26,1950-03-01,5.64241
27,1950-04-01,4.65092
28,1950-05-01,6.62081
29,1950-06-01,10.05689
30,1950-07-01,18.97853
31,1950-08-01,17.71196
32,1950-09-01,10.38585
33,1950-10-01,7.11844
34,1950-11-01,3.62227
35,1950-12-01,10.68737
36,1951-01-01,13.29299
37,1951-02-01,8.26172
38,1951-03-01,1.63345
39,1951-04-01,-0.53606
40,1951-05-01,-1.36217
41,1951-06-01,-4.38116
42,1951-07-01,-11.49002
43,1951-08-01,-9.45414
44,1951-09-01,-5.35424
45,1951-10-01,-0.91989
46,1951-11-01,1.51852
47,1951-12-01,-5.91481
48,1952-01-01,-10.05214
49,1952-02-01,-5.42294
50,1952-03-01,-2.88022
51,1952-04-01,1.36669
52,1952-05-01,4.74436
53,1952-06-01,6.08625
54,1952-07-01,3.60521
55,1952-08-01,-0.927
56,1952-09-01,2.11763
57,1952-10-01,5.26842
58,1952-11-01,4.45729
59,1952-12-01,9.5571
60,1953-01-01,9.73154
61,1953-02-01,7.10621
62,1953-03-01,11.01258
63,1953-04-01,6.83961
64,1953-05-01,2.57501
65,1953-06-01,0.74051
66,1953-07-01,3.88879
67,1953-08-01,5.30485
68,1953-09-01,3.13336
69,1953-10-01,-1.01882
70,1953-11-01,-0.9995
71,1953-12-01,-4.54979
72,1954-01-01,-5.52497
73,1954-02-01,-3.33686
74,1954-03-01,-3.84481
75,1954-04-01,-2.32859
76,1954-05-01,-2.21447
77,1954-06-01,0.51531
78,1954-07-01,-1.07275
79,1954-08-01,-0.14969
80,1954-09-01,0.845
81,1954-10-01,1.27511
82,1954-11-01,4.36454
83,1954-12-01,7.33922
84,1955-01-01,8.08059
85,1955-02-01,6.77347
86,1955-03-01,7.42532
87,1955-04-01,9.44223
88,1955-05-01,9.7427
89,1955-06-01,6.77774
90,1955-07-01,10.51124
91,1955-08-01,10.98405
92,1955-09-01,10.98437
93,1955-10-01,11.18738
94,1955-11-01,8.24497
95,1955-12-01,5.46737
96,1956-01-01,4.94437
97,1956-02-01,2.79947
98,1956-03-01,3.99721
99,1956-04-01,1.33165
100,1956-05-01,2.58342
101,1956-06-01,2.51536
102,1956-07-01,0.33404
103,1956-08-01,0.39138
104,1956-09-01,-0.39122
105,1956-10-01,-1.19377
106,1956-11-01,0.6548
107,1956-12-01,1.61771
108,1957-01-01,1.9579
109,1957-02-01,4.7254
110,1957-03-01,1.27776
111,1957-04-01,2.48786
112,1957-05-01,1.09397
113,1957-06-01,3.06662
114,1957-07-01,3.29634
115,1957-08-01,3.42068
116,1957-09-01,2.51158
117,1957-10-01,2.35079
118,1957-11-01,0.39613
119,1957-12-01,-0.44145
120,1958-01-01,-1.18916
121,1958-02-01,-4.6559
122,1958-03-01,-4.24615
123,1958-04-01,-3.21407
124,1958-05-01,-3.21423
125,1958-06-01,-4.75793
126,1958-07-01,-2.72952
127,1958-08-01,-2.73376
128,1958-09-01,-2.6349
129,1958-10-01,-2.77572
130,1958-11-01,-0.02211
131,1958-12-01,3.93077
132,1959-01-01,4.09113
133,1959-02-01,7.05321
134,1959-03-01,9.06547
135,1959-04-01,7.70602
136,1959-05-01,8.66986
137,1959-06-01,9.55446
138,1959-07-01,7.38286
139,1959-08-01,7.38232
140,1959-09-01,6.29779
141,1959-10-01,7.24321
142,1959-11-01,2.40704
143,1959-12-01,-1.2931
144,1960-01-01,1.49429
145,1960-02-01,1.1281
146,1960-03-01,0.18024
147,1960-04-01,2.39842
148,1960-05-01,-0.2544
149,1960-06-01,-0.94785
150,1960-07-01,-1.57498
151,1960-08-01,-1.86362
152,1960-09-01,-0.31661
153,1960-10-01,-0.50137
154,1960-11-01,0.73088
155,1960-12-01,0.4606
156,1961-01-01,-2.09955
157,1961-02-01,-2.80903
158,1961-03-01,-1.67431
159,1961-04-01,-5.56401
160,1961-05-01,-2.36001
161,1961-06-01,-1.50166
162,1961-07-01,-0.90949
163,1961-08-01,-0.15947
164,1961-09-01,-0.22477
165,1961-10-01,1.36541
166,1961-11-01,3.5603
167,1961-12-01,4.36061
168,1962-01-01,5.17553
169,1962-02-01,5.21239
170,1962-03-01,5.51563
171,1962-04-01,7.99953
172,1962-05-01,7.12219
173,1962-06-01,4.96915
174,1962-07-01,7.07082
175,1962-08-01,6.20976
176,1962-09-01,6.34703
177,1962-10-01,6.10648
178,1962-11-01,5.91242
179,1962-12-01,5.85295
180,1963-01-01,5.39274
181,1963-02-01,4.59159
182,1963-03-01,4.02593
183,1963-04-01,3.91094
184,1963-05-01,2.5573
185,1963-06-01,4.32274
186,1963-07-01,3.54895
187,1963-08-01,2.78677
188,1963-09-01,2.89815
189,1963-10-01,2.73395
190,1963-11-01,1.04942
191,1963-12-01,2.95639
192,1964-01-01,1.99161
193,1964-02-01,3.58013
194,1964-03-01,3.50219
195,1964-04-01,3.57383
196,1964-05-01,5.64016
197,1964-06-01,5.28406
198,1964-07-01,4.93438
199,1964-08-01,6.54813
200,1964-09-01,7.46796
201,1964-10-01,1.87858
202,1964-11-01,3.67202
203,1964-12-01,6.1651
204,1965-01-01,7.50257
205,1965-02-01,7.68736
206,1965-03-01,5.8518
207,1965-04-01,5.87021
208,1965-05-01,5.74359
209,1965-06-01,4.69575
210,1965-07-01,5.87794
211,1965-08-01,5.07798
212,1965-09-01,4.37402
213,1965-10-01,11.0203
214,1965-11-01,11.32335
215,1965-12-01,6.76187
216,1966-01-01,6.6867
217,1966-02-01,5.66744
218,1966-03-01,8.25611
219,1966-04-01,5.90201
220,1966-05-01,2.50296
221,1966-06-01,5.83517
222,1966-07-01,4.25267
223,1966-08-01,4.45653
224,1966-09-01,4.07368
225,1966-10-01,1.034
226,1966-11-01,0.1792
227,1966-12-01,-0.57602
228,1967-01-01,-6.00901
229,1967-02-01,-6.93424
230,1967-03-01,-7.32384
231,1967-04-01,-5.801
232,1967-05-01,-4.29491
233,1967-06-01,-4.23015
234,1967-07-01,-5.28409
235,1967-08-01,-6.02683
236,1967-09-01,-3.54875
237,1967-10-01,-4.60087
238,1967-11-01,-2.96881
239,1967-12-01,0.23718
240,1968-01-01,3.13121
241,1968-02-01,5.42499
242,1968-03-01,6.57868
243,1968-04-01,6.08032
244,1968-05-01,6.93472
245,1968-06-01,5.55176
246,1968-07-01,7.32788
247,1968-08-01,8.72412
248,1968-09-01,3.4872
249,1968-10-01,7.74151
250,1968-11-01,8.20546
251,1968-12-01,3.39419
252,1969-01-01,6.44207
253,1969-02-01,5.97707
254,1969-03-01,2.09471
255,1969-04-01,2.64684
256,1969-05-01,2.98695
257,1969-06-01,0.71799
258,1969-07-01,-0.44305
259,1969-08-01,-0.56726
260,1969-09-01,2.72955
261,1969-10-01,1.05205
262,1969-11-01,-1.71716
263,1969-12-01,0.66281
264,1970-01-01,-0.3536
265,1970-02-01,-0.856
266,1970-03-01,-0.67931
267,1970-04-01,-0.04394
268,1970-05-01,0.43767
269,1970-06-01,1.75
270,1970-07-01,2.83878
271,1970-08-01,1.62981
272,1970-09-01,0.59073
273,1970-10-01,0.35075
274,1970-11-01,-1.76088
275,1970-12-01,0.22735
276,1971-01-01,2.59855
277,1971-02-01,3.71021
278,1971-03-01,5.12143
279,1971-04-01,6.10769
280,1971-05-01,3.75175
281,1971-06-01,5.05307
282,1971-07-01,4.50864
283,1971-08-01,5.13743
284,1971-09-01,6.90463
285,1971-10-01,7.59322
286,1971-11-01,11.59632
287,1971-12-01,8.63206
288,1972-01-01,5.29241
289,1972-02-01,4.58897
290,1972-03-01,7.4107
291,1972-04-01,5.71943
292,1972-05-01,8.02312
293,1972-06-01,6.99725
294,1972-07-01,7.25038
295,1972-08-01,7.67829
296,1972-09-01,7.60138
297,1972-10-01,7.82414
298,1972-11-01,7.06177
299,1972-12-01,9.5607
300,1973-01-01,12.03983
301,1973-02-01,12.48751
302,1973-03-01,9.47017
303,1973-04-01,7.91683
304,1973-05-01,6.28295
305,1973-06-01,6.09507
306,1973-07-01,5.81539
307,1973-08-01,3.50804
308,1973-09-01,2.9899
309,1973-10-01,1.46703
310,1973-11-01,1.40462
311,1973-12-01,-4.02108
312,1974-01-01,-5.03251
313,1974-02-01,-6.17859
314,1974-03-01,-5.66431
315,1974-04-01,-3.63742
316,1974-05-01,-3.09647
317,1974-06-01,-3.87743
318,1974-07-01,-2.95423
319,1974-08-01,0.0918
320,1974-09-01,-4.50942
321,1974-10-01,-5.83785
322,1974-11-01,-7.36588
323,1974-12-01,-6.2599
324,1975-01-01,-3.72633
325,1975-02-01,-2.42697
326,1975-03-01,-5.35389
327,1975-04-01,-5.07423
328,1975-05-01,-0.97336
329,1975-06-01,-1.25591
330,1975-07-01,-1.61634
331,1975-08-01,-2.48999
332,1975-09-01,0.75567
333,1975-10-01,2.62856
334,1975-11-01,3.85364
335,1975-12-01,7.36089
336,1976-01-01,6.57545
337,1976-02-01,4.72037
338,1976-03-01,8.07043
339,1976-04-01,8.90686
340,1976-05-01,2.89665
341,1976-06-01,5.37674
342,1976-07-01,4.94937
343,1976-08-01,3.11034
344,1976-09-01,3.13804
345,1976-10-01,4.02697
346,1976-11-01,4.4262
347,1976-12-01,5.77694
348,1977-01-01,2.31524
349,1977-02-01,4.53316
350,1977-03-01,4.36299
351,1977-04-01,3.4305
352,1977-05-01,4.02369
353,1977-06-01,2.48778
354,1977-07-01,2.93166
355,1977-08-01,3.43381
356,1977-09-01,4.08064
357,1977-10-01,4.61211
358,1977-11-01,4.68602
359,1977-12-01,2.28528
360,1978-01-01,0.85334
361,1978-02-01,1.45605
362,1978-03-01,2.97395
363,1978-04-01,3.81312
364,1978-05-01,4.30944
365,1978-06-01,5.26358
366,1978-07-01,3.11826
367,1978-08-01,4.44805
