,date,SPX
13424,1900-01-01,6.1
13425,1900-02-01,6.21
13426,1900-03-01,6.26
13427,1900-04-01,6.34
13428,1900-05-01,6.04
13429,1900-06-01,5.86
13430,1900-07-01,5.86
13431,1900-08-01,5.94
13432,1900-09-01,5.8
13433,1900-10-01,6.01
13434,1900-11-01,6.48
13435,1900-12-01,6.87
13436,1901-01-01,7.07
13437,1901-02-01,7.25
13438,1901-03-01,7.51
13439,1901-04-01,8.14
13440,1901-05-01,7.73
13441,1901-06-01,8.5
13442,1901-07-01,7.93
13443,1901-08-01,8.04
13444,1901-09-01,8.0
13445,1901-10-01,7.91
13446,1901-11-01,8.08
13447,1901-12-01,7.95
13448,1902-01-01,8.12
13449,1902-02-01,8.19
13450,1902-03-01,8.2
13451,1902-04-01,8.48
13452,1902-05-01,8.46
13453,1902-06-01,8.41
13454,1902-07-01,8.6
13455,1902-08-01,8.83
13456,1902-09-01,8.85
13457,1902-10-01,8.57
13458,1902-11-01,8.24
13459,1902-12-01,8.05
13460,1903-01-01,8.46
13461,1903-02-01,8.41
13462,1903-03-01,8.08
13463,1903-04-01,7.75
13464,1903-05-01,7.6
13465,1903-06-01,7.18
13466,1903-07-01,6.85
13467,1903-08-01,6.63
13468,1903-09-01,6.47
13469,1903-10-01,6.26
13470,1903-11-01,6.28
13471,1903-12-01,6.57
13472,1904-01-01,6.68
13473,1904-02-01,6.5
13474,1904-03-01,6.48
13475,1904-04-01,6.64
13476,1904-05-01,6.5
13477,1904-06-01,6.51
13478,1904-07-01,6.78
13479,1904-08-01,7.01
13480,1904-09-01,7.32
13481,1904-10-01,7.75
13482,1904-11-01,8.17
13483,1904-12-01,8.25
13484,1905-01-01,8.43
13485,1905-02-01,8.8
13486,1905-03-01,9.05
13487,1905-04-01,8.94
13488,1905-05-01,8.5
13489,1905-06-01,8.6
13490,1905-07-01,8.87
13491,1905-08-01,9.2
13492,1905-09-01,9.23
13493,1905-10-01,9.36
13494,1905-11-01,9.31
13495,1905-12-01,9.54
13496,1906-01-01,9.87
13497,1906-02-01,9.8
13498,1906-03-01,9.56
13499,1906-04-01,9.43
13500,1906-05-01,9.18
13501,1906-06-01,9.3
13502,1906-07-01,9.06
13503,1906-08-01,9.73
13504,1906-09-01,10.03
13505,1906-10-01,9.73
13506,1906-11-01,9.93
13507,1906-12-01,9.84
13508,1907-01-01,9.56
13509,1907-02-01,9.26
13510,1907-03-01,8.35
13511,1907-04-01,8.39
13512,1907-05-01,8.1
13513,1907-06-01,7.84
13514,1907-07-01,8.14
13515,1907-08-01,7.53
13516,1907-09-01,7.45
13517,1907-10-01,6.64
13518,1907-11-01,6.25
13519,1907-12-01,6.57
13520,1908-01-01,6.85
13521,1908-02-01,6.6
13522,1908-03-01,6.87
13523,1908-04-01,7.24
13524,1908-05-01,7.63
13525,1908-06-01,7.64
13526,1908-07-01,7.92
13527,1908-08-01,8.26
13528,1908-09-01,8.17
13529,1908-10-01,8.27
13530,1908-11-01,8.83
13531,1908-12-01,9.03
13532,1909-01-01,9.06
13533,1909-02-01,8.8
13534,1909-03-01,8.92
13535,1909-04-01,9.32
13536,1909-05-01,9.63
13537,1909-06-01,9.8
13538,1909-07-01,9.94
13539,1909-08-01,10.18
13540,1909-09-01,10.19
13541,1909-10-01,10.23
13542,1909-11-01,10.18
13543,1909-12-01,10.3
13544,1910-01-01,10.08
13545,1910-02-01,9.72
13546,1910-03-01,9.96
13547,1910-04-01,9.72
13548,1910-05-01,9.56
13549,1910-06-01,9.1
13550,1910-07-01,8.64
13551,1910-08-01,8.85
13552,1910-09-01,8.91
13553,1910-10-01,9.32
13554,1910-11-01,9.31
13555,1910-12-01,9.05
13556,1911-01-01,9.27
13557,1911-02-01,9.43
13558,1911-03-01,9.32
13559,1911-04-01,9.28
13560,1911-05-01,9.48
13561,1911-06-01,9.67
13562,1911-07-01,9.63
13563,1911-08-01,9.17
13564,1911-09-01,8.67
13565,1911-10-01,8.72
13566,1911-11-01,9.07
13567,1911-12-01,9.11
13568,1912-01-01,9.12
13569,1912-02-01,9.04
13570,1912-03-01,9.3
13571,1912-04-01,9.59
13572,1912-05-01,9.58
13573,1912-06-01,9.58
13574,1912-07-01,9.59
13575,1912-08-01,9.81
13576,1912-09-01,9.86
13577,1912-10-01,9.84
13578,1912-11-01,9.73
13579,1912-12-01,9.38
13580,1913-01-01,9.3
13581,1913-02-01,8.97
13582,1913-03-01,8.8
13583,1913-04-01,8.79
13584,1913-05-01,8.55
13585,1913-06-01,8.12
13586,1913-07-01,8.23
13587,1913-08-01,8.45
13588,1913-09-01,8.53
13589,1913-10-01,8.26
13590,1913-11-01,8.05
13591,1913-12-01,8.04
13592,1914-01-01,8.37
13593,1914-02-01,8.48
13594,1914-03-01,8.32
13595,1914-04-01,8.12
13596,1914-05-01,8.17
13597,1914-06-01,8.13
13598,1914-07-01,7.68
13599,1914-08-01,7.68
13600,1914-09-01,7.68
13601,1914-10-01,7.68
13602,1914-11-01,7.68
13603,1914-12-01,7.35
13604,1915-01-01,7.48
13605,1915-02-01,7.38
13606,1915-03-01,7.57
13607,1915-04-01,8.14
13608,1915-05-01,7.95
13609,1915-06-01,8.04
13610,1915-07-01,8.01
13611,1915-08-01,8.35
13612,1915-09-01,8.66
13613,1915-10-01,9.14
13614,1915-11-01,9.46
13615,1915-12-01,9.48
13616,1916-01-01,9.33
13617,1916-02-01,9.2
13618,1916-03-01,9.17
13619,1916-04-01,9.07
13620,1916-05-01,9.27
13621,1916-06-01,9.36
13622,1916-07-01,9.23
13623,1916-08-01,9.3
13624,1916-09-01,9.68
13625,1916-10-01,9.98
13626,1916-11-01,10.21
13627,1916-12-01,9.8
13628,1917-01-01,9.57
13629,1917-02-01,9.03
13630,1917-03-01,9.31
13631,1917-04-01,9.17
13632,1917-05-01,8.86
13633,1917-06-01,9.04
13634,1917-07-01,8.79
13635,1917-08-01,8.53
13636,1917-09-01,8.12
13637,1917-10-01,7.68
13638,1917-11-01,7.04
13639,1917-12-01,6.8
13640,1918-01-01,7.21
13641,1918-02-01,7.43
13642,1918-03-01,7.28
13643,1918-04-01,7.21
13644,1918-05-01,7.44
13645,1918-06-01,7.45
13646,1918-07-01,7.51
13647,1918-08-01,7.58
13648,1918-09-01,7.54
13649,1918-10-01,7.86
13650,1918-11-01,8.06
13651,1918-12-01,7.9
13652,1919-01-01,7.85
13653,1919-02-01,7.88
13654,1919-03-01,8.12
13655,1919-04-01,8.39
13656,1919-05-01,8.97
13657,1919-06-01,9.21
13658,1919-07-01,9.51
13659,1919-08-01,8.87
13660,1919-09-01,9.01
13661,1919-10-01,9.47
13662,1919-11-01,9.19
13663,1919-12-01,8.92
13664,1920-01-01,8.83
13665,1920-02-01,8.1
13666,1920-03-01,8.67
13667,1920-04-01,8.6
13668,1920-05-01,8.06
13669,1920-06-01,7.92
13670,1920-07-01,7.91
13671,1920-08-01,7.6
13672,1920-09-01,7.87
13673,1920-10-01,7.88
13674,1920-11-01,7.48
13675,1920-12-01,6.81
13676,1921-01-01,7.11
13677,1921-02-01,7.06
13678,1921-03-01,6.88
13679,1921-04-01,6.91
13680,1921-05-01,7.12
13681,1921-06-01,6.55
13682,1921-07-01,6.53
13683,1921-08-01,6.45
13684,1921-09-01,6.61
13685,1921-10-01,6.7
13686,1921-11-01,7.06
13687,1921-12-01,7.31
13688,1922-01-01,7.3
13689,1922-02-01,7.46
13690,1922-03-01,7.74
13691,1922-04-01,8.21
13692,1922-05-01,8.53
13693,1922-06-01,8.45
13694,1922-07-01,8.51
13695,1922-08-01,8.83
13696,1922-09-01,9.06
13697,1922-10-01,9.26
13698,1922-11-01,8.8
13699,1922-12-01,8.78
13700,1923-01-01,8.9
13701,1923-02-01,9.28
13702,1923-03-01,9.43
13703,1923-04-01,9.1
13704,1923-05-01,8.67
13705,1923-06-01,8.34
13706,1923-07-01,8.06
13707,1923-08-01,8.1
13708,1923-09-01,8.15
13709,1923-10-01,8.03
13710,1923-11-01,8.27
13711,1923-12-01,8.55
13712,1924-01-01,8.83
13713,1924-02-01,8.87
13714,1924-03-01,8.7
13715,1924-04-01,8.5
13716,1924-05-01,8.47
13717,1924-06-01,8.63
13718,1924-07-01,9.03
13719,1924-08-01,9.34
13720,1924-09-01,9.25
13721,1924-10-01,9.13
13722,1924-11-01,9.64
13723,1924-12-01,10.16
13724,1925-01-01,10.58
13725,1925-02-01,10.67
13726,1925-03-01,10.39
13727,1925-04-01,10.28
13728,1925-05-01,10.61
13729,1925-06-01,10.8
13730,1925-07-01,11.1
13731,1925-08-01,11.25
13732,1925-09-01,11.51
13733,1925-10-01,11.89
13734,1925-11-01,12.26
13735,1925-12-01,12.46
13736,1926-01-01,12.65
13737,1926-02-01,12.67
13738,1926-03-01,11.81
13739,1926-04-01,11.48
13740,1926-05-01,11.56
13741,1926-06-01,12.11
13742,1926-07-01,12.62
13743,1926-08-01,13.12
13744,1926-09-01,13.32
13745,1926-10-01,13.02
13746,1926-11-01,13.19
13747,1926-12-01,13.49
13748,1927-01-01,13.4
13749,1927-02-01,13.66
13750,1927-03-01,13.87
13751,1927-04-01,14.21
13752,1927-05-01,14.7
13753,1927-06-01,14.89
13754,1927-07-01,15.22
13755,1927-08-01,16.03
13756,1927-09-01,16.94
13757,1927-10-01,16.68
13758,1927-11-01,17.06
13759,1927-12-01,17.46
13760,1928-01-01,17.53
13761,1928-02-01,17.32
13762,1928-03-01,18.25
13763,1928-04-01,19.4
13764,1928-05-01,20.0
13765,1928-06-01,19.02
13766,1928-07-01,19.16
13767,1928-08-01,19.78
13768,1928-09-01,21.17
13769,1928-10-01,21.6
13770,1928-11-01,23.06
13771,1928-12-01,23.15
13772,1929-01-01,24.86
13773,1929-02-01,24.99
13774,1929-03-01,25.43
13775,1929-04-01,25.28
13776,1929-05-01,25.66
13777,1929-06-01,26.15
13778,1929-07-01,28.48
13779,1929-08-01,30.1
13780,1929-09-01,31.3
13781,1929-10-01,27.99
13782,1929-11-01,20.58
13783,1929-12-01,21.4
13784,1930-01-01,21.71
13785,1930-02-01,23.07
13786,1930-03-01,23.94
13787,1930-04-01,25.46
13788,1930-05-01,23.94
13789,1930-06-01,21.52
13790,1930-07-01,21.06
13791,1930-08-01,20.79
13792,1930-09-01,20.78
13793,1930-10-01,17.92
13794,1930-11-01,16.62
13795,1930-12-01,15.51
13796,1931-01-01,15.98
